CustomerID,Region,TownSize,Gender,Age,EducationYears,JobCategory,UnionMember,EmploymentLength,Retired,HHIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,LoanDefault,MaritalStatus,HouseholdSize,NumberPets,NumberCats,NumberDogs,NumberBirds,HomeOwner,CarsOwned,CarOwnership,CarBrand,CarValue,CommuteTime,PoliticalPartyMem,Votes,CreditCard,CardTenure,CardItemsMonthly,CardSpendMonth,ActiveLifestyle,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,CallingCard,WirelessData,DataLastMonth,DataOverTenure,Multiline,VM,Pager,Internet,CallerID,CallWait,CallForward,ThreeWayCalling,EBilling,TVWatchingHours,OwnsPC,OwnsMobileDevice,OwnsGameSystem,OwnsFax,NewsSubscriber
3853-NVDCOJ-TIN,1,1,Female,78,16,Professional,No,10,Yes," $22,000.00 ",15.2,0.692208,2.651792,No,Unmarried,1,0,0,0,0,0,2,Own,Foreign," $10,800.00 ",23,No,No,Visa,10,1, $81.10 ,Yes,14, $21.90 , $85.60 ,Yes, $24.85 , $341.75 ,Yes,No, $-   , $-   ,Yes,No,No,Yes,No,No,No,No,Yes,22,Yes,Yes,No,No,No
0765-UXAFYM-PDR,3,3,Male,61,16,Professional,No,4,No," $35,000.00 ",10.1,1.233715,2.301285,No,Married,2,0,0,0,0,0,4,Lease,Domestic," $9,400.00 ",34,No,No,AMEX,27,8," $2,719.80 ",No,53, $33.60 , $567.05 ,No, $-   , $-   ,Yes,No, $-   , $-   ,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,25,Yes,Yes,Yes,No,No
9937-SFPLRK-H9Y,2,4,Male,70,17,Sales,Yes,2,No," $28,000.00 ",9.3,1.195236,1.408764,No,Married,2,9,0,0,1,0,5,Own,Domestic," $15,700.00 ",29,Yes,Yes,AMEX,26,8," $2,677.10 ",Yes,59, $42.75 , $805.80 ,No, $-   , $-   ,Yes,No, $-   , $-   ,Yes,No,Yes,3,No,Yes,No,Yes,No,21,Yes,No,Yes,No,No
0712-WQXYVV-HUP,4,1,Male,61,14,Labor,No,18,Yes," $12,000.00 ",21.5,0.56502,2.01498,No,Unmarried,1,0,0,0,0,1,3,Own,Domestic," $5,800.00 ",25,Yes,No,AMEX,24,10," $2,450.30 ",No,61, $25.05 , $476.95 ,Yes, $29.10 ," $1,790.80 ",Yes,No, $-   , $-   ,No,No,No,3,No,Yes,No,No,No,13,Yes,No,Yes,No,No
6441-FJUWZQ-7G8,3,4,Male,37,11,Professional,Yes,2,No," $29,000.00 ",15.7,3.319137,1.233863,Yes,Unmarried,1,0,0,0,0,0,0,-1,-1," $(1,000.00)",29,No,No,Othe,12,17," $5,566.10 ",Yes,39, $39.30 , $504.45 ,Yes, $43.50 ," $1,663.95 ",Yes,Yes, $31.50 ," $1,199.20 ",Yes,Yes,Yes,4,Yes,Yes,Yes,Yes,Yes,21,Yes,Yes,Yes,No,Yes
7634-AVNEXZ-7AG,1,3,Male,39,12,Professional,No,5,No," $130,000.00 ",11.3,4.68611,10.00389,No,Married,4,5,0,0,0,1,2,Own,Domestic," $49,200.00 ",32,Yes,Yes,Disc,2,12," $4,537.40 ",No,6, $4.50 , $11.15 ,No, $-   , $-   ,Yes,No, $-   , $-   ,No,No,No,Yes,Yes,No,Yes,Yes,No,32,Yes,Yes,No,No,No
2041-PNMGHX-TXJ,4,3,Female,73,14,Service,No,28,Yes," $69,000.00 ",14.8,1.164168,9.047832,No,Married,2,0,0,0,0,0,1,Own,Foreign," $22,800.00 ",27,No,No,Visa,32,6," $2,126.70 ",No,62, $76.35 ," $1,565.60 ",Yes, $47.15 ," $2,874.15 ",Yes,Yes, $53.20 ," $3,245.60 ",Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,22,Yes,Yes,Yes,No,Yes
4626-BQZAUJ-V9K,5,4,Female,26,16,Sales,No,0,No," $24,000.00 ",11.7,1.297296,1.510704,Yes,Married,6,1,0,1,0,0,4,Lease,Domestic," $9,800.00 ",27,Yes,No,Disc,8,14," $4,476.70 ",Yes,26, $17.40 , $149.40 ,Yes, $27.05 , $728.55 ,Yes,No, $-   , $-   ,Yes,No,No,4,No,No,No,No,Yes,17,Yes,Yes,Yes,Yes,No
2969-ODPCDX-5DC,2,1,Female,24,17,Labor,No,1,No," $29,000.00 ",14,1.39258,2.66742,Yes,Unmarried,1,12,0,1,0,1,0,-1,-1," $(1,000.00)",14,No,Yes,Disc,5,11," $2,799.50 ",Yes,11, $11.85 , $42.40 ,Yes, $19.65 , $172.75 ,No,No, $-   , $-   ,No,No,No,No,No,No,No,No,No,13,No,Yes,Yes,No,No
4974-FUBHDF-Z7L,3,1,Female,77,15,Professional,No,26,Yes," $11,000.00 ",10.2,0.255816,0.866184,No,Unmarried,1,2,0,2,0,1,2,Own,Domestic," $3,100.00 ",21,Yes,No,Visa,39,10," $1,949.50 ",Yes,72, $268.35 ," $6,495.70 ",No, $-   , $-   ,Yes,No, $-   , $-   ,Yes,No,No,No,Yes,Yes,No,No,No,23,No,No,No,No,Yes
2525-OSULNV-0KS,5,3,Male,36,19,Professional,Yes,3,No," $30,000.00 ",15.5,0.41385,4.23615,No,Unmarried,1,7,0,0,0,1,3,Own,Domestic," $13,100.00 ",24,Yes,Yes,AMEX,10,11," $3,009.70 ",No,37, $20.10 , $233.85 ,No, $-   , $-   ,No,No, $-   , $-   ,No,No,No,2,No,No,No,No,No,15,Yes,Yes,Yes,No,No
4973-FHPBZQ-AAA,3,5,Male,55,14,Service,No,23,No," $80,000.00 ",6.5,0.0312,5.1688,No,Unmarried,1,9,2,0,0,1,4,Own,Domestic," $35,000.00 ",25,No,No,Visa,21,11," $3,940.20 ",No,47, $36.75 , $524.40 ,No, $-   , $-   ,Yes,No, $-   , $-   ,No,No,No,No,No,No,Yes,Yes,No,25,Yes,No,Yes,No,Yes
4726-RQKGNB-WAK,2,2,Female,60,18,Professional,No,13,No," $51,000.00 ",7.8,1.209312,2.768688,No,Married,2,2,2,0,0,0,2,Own,Domestic," $25,200.00 ",26,Yes,No,Disc,38,9," $1,124.70 ",Yes,71, $109.05 ," $2,586.85 ",Yes, $55.15 ," $4,064.25 ",Yes,Yes, $55.80 ," $3,819.50 ",Yes,Yes,Yes,4,No,No,Yes,No,Yes,20,Yes,Yes,Yes,Yes,Yes
6592-QBSENI-6Y4,1,1,Female,59,8,Sales,Yes,4,No," $30,000.00 ",2.8,0.26292,0.57708,No,Married,4,1,0,1,0,0,0,-1,-1," $(1,000.00)",15,Yes,No,Visa,2,11," $3,421.70 ",No,3, $16.50 , $19.35 ,No, $-   , $-   ,Yes,No, $-   , $-   ,No,No,No,No,Yes,Yes,Yes,Yes,No,29,No,No,No,No,No
5538-DRGHIE-PF0,1,1,Male,28,11,,Yes,1,No," $17,000.00 ",8.2,0.150552,1.243448,Yes,Married,6,1,1,0,0,0,3,Own,Domestic," $8,200.00 ",23,Yes,Yes,Mast,7,10," $3,811.40 ",Yes,16, $23.55 , $116.30 ,No, $-   , $-   ,No,No, $-   , $-   ,No,No,No,No,No,No,Yes,No,No,30,No,No,Yes,No,No
3550-PQUPPM-42T,3,3,Male,53,20,Sales,No,11,No," $141,000.00 ",9.9,9.589833,4.369167,No,Married,3,1,0,1,0,1,0,-1,-1," $(1,000.00)",23,Yes,Yes,Disc,13,11," $4,459.00 ",No,36, $10.20 , $122.00 ,Yes, $49.25 ," $1,693.60 ",Yes,Yes, $61.25 ," $2,209.20 ",Yes,Yes,Yes,3,Yes,Yes,Yes,Yes,Yes,10,Yes,Yes,Yes,Yes,No
9809-NBCXAS-1RB,4,5,Male,36,12,Sales,No,5,No," $45,000.00 ",8.3,0.88893,2.84607,Yes,Unmarried,2,3,0,0,3,0,3,Own,Domestic," $21,200.00 ",26,Yes,Yes,Disc,13,13," $4,611.50 ",No,38, $20.25 , $244.70 ,Yes, $27.40 ," $1,123.60 ",No,No, $-   , $-   ,Yes,No,No,3,No,No,No,No,Yes,29,Yes,Yes,Yes,No,No
8733-EDAXNE-8DV,3,1,Male,47,20,Crafts,No,17,No," $137,000.00 ",13.7,3.303344,15.465656,No,Married,2,2,2,0,0,1,1,Own,Foreign," $78,100.00 ",21,No,Yes,AMEX,29,8," $4,161.20 ",No,69, $66.15 ," $1,473.30 ",Yes, $44.85 ," $2,973.00 ",Yes,Yes, $36.45 ," $2,475.25 ",Yes,Yes,Yes,3,No,Yes,No,No,Yes,22,Yes,Yes,Yes,No,Yes
8170-YHWTSQ-825,5,2,Male,75,11,Sales,No,2,Yes," $10,000.00 ",2.4,0.03888,0.20112,No,Unmarried,1,1,1,0,0,0,1,Own,Domestic," $4,900.00 ",24,No,No,Disc,23,17," $1,972.70 ",No,46, $59.40 , $884.75 ,No, $-   , $-   ,Yes,No, $-   , $-   ,No,No,No,No,Yes,Yes,Yes,Yes,No,21,Yes,No,No,No,Yes
1144-GVCZDP-8DV,2,3,Female,49,22,Professional,Yes,3,No," $73,000.00 ",9.2,1.437224,5.278776,No,Married,5,13,2,0,0,1,1,Own,Foreign," $33,900.00 ",19,No,Yes,Disc,13,4, $782.20 ,Yes,31, $21.00 , $238.00 ,Yes, $57.25 ," $1,740.25 ",No,Yes, $62.30 ," $1,879.25 ",Yes,Yes,Yes,4,No,No,No,No,Yes,22,Yes,Yes,Yes,Yes,No
8846-JJEGFU-I69,1,1,Female,59,13,Professional,No,15,No," $63,000.00 ",6,0.59346,3.18654,No,Unmarried,1,0,0,0,0,0,1,Own,Domestic," $36,200.00 ",16,Yes,No,Disc,13,9," $2,835.90 ",No,41, $39.00 , $479.00 ,No, $-   , $-   ,Yes,Yes, $19.35 , $764.35 ,No,No,No,2,Yes,Yes,Yes,Yes,No,13,Yes,Yes,Yes,Yes,No
4226-TEHKPJ-GKG,1,2,Female,55,12,Service,No,10,No," $50,000.00 ",5.1,1.0863,1.4637,No,Married,3,0,0,0,0,1,2,Own,Domestic," $31,800.00 ",21,Yes,No,AMEX,22,11," $5,011.10 ",No,49, $27.90 , $465.50 ,No, $-   , $-   ,Yes,No, $-   , $-   ,No,Yes,No,No,Yes,Yes,Yes,Yes,No,29,No,No,No,No,Yes
9714-LCYJJB-SCS,5,2,Male,25,14,Professional,No,1,No," $50,000.00 ",10.5,1.218,4.032,Yes,Unmarried,5,1,0,1,0,0,0,-1,-1," $(1,000.00)",15,No,Yes,Disc,7,11," $3,919.70 ",Yes,46, $43.35 , $659.35 ,Yes, $29.75 ," $1,319.50 ",Yes,No, $-   , $-   ,Yes,Yes,No,2,No,No,No,No,No,22,Yes,No,Yes,No,Yes
2866-TTOTKL-TA7,5,4,Male,78,11,Service,No,30,Yes," $28,000.00 ",9.8,1.635424,1.108576,No,Married,2,9,0,0,0,0,2,Own,Domestic," $15,800.00 ",34,No,Yes,Visa,14,5," $1,637.20 ",No,31, $15.00 , $133.35 ,No, $-   , $-   ,Yes,No, $-   , $-   ,No,No,No,No,No,No,No,No,No,20,No,No,No,No,Yes
7217-UECHSF-PCR,1,1,Female,48,11,Sales,No,2,No," $23,000.00 ",18.7,2.051577,2.249423,Yes,Unmarried,2,9,0,0,0,1,2,Own,Domestic," $9,300.00 ",23,No,No,Othe,11,11," $2,680.90 ",Yes,23, $19.50 , $169.80 ,No, $-   , $-   ,Yes,Yes, $19.70 , $387.90 ,No,No,No,Yes,Yes,Yes,Yes,Yes,No,28,Yes,No,No,No,No
0197-AMEAYR-851,5,1,Male,47,19,Sales,No,1,No," $75,000.00 ",2.2,0.1023,1.5477,No,Married,2,6,0,0,0,0,1,Own,Foreign," $46,100.00 ",22,No,Yes,AMEX,15,14," $3,336.80 ",No,21, $18.45 , $141.25 ,Yes, $26.35 , $516.30 ,Yes,No, $-   , $-   ,No,No,No,No,No,No,No,No,Yes,19,Yes,Yes,No,No,No
1743-WAHPKT-DNW,5,1,Male,75,10,Sales,No,11,No," $28,000.00 ",3.3,0.394548,0.529452,No,Married,2,0,0,0,0,1,1,Own,Domestic," $13,800.00 ",20,Yes,No,AMEX,3,10," $4,535.20 ",No,16, $12.90 , $75.00 ,No, $-   , $-   ,No,No, $-   , $-   ,No,No,No,No,No,Yes,No,No,No,12,No,No,No,No,No
9840-VEWFQZ-W5V,3,1,Female,43,19,Sales,No,4,No," $33,000.00 ",12.6,2.116422,2.041578,No,Married,2,5,0,0,0,1,1,Own,Foreign," $17,200.00 ",22,Yes,Yes,Disc,9,14," $2,724.40 ",Yes,27, $19.95 , $201.55 ,No, $-   , $-   ,No,No, $-   , $-   ,No,No,No,No,No,No,No,No,No,18,No,No,Yes,No,No
6203-JLXPIJ-YQZ,5,5,Male,45,10,Labor,No,15,No," $44,000.00 ",13.6,0.98736,4.99664,No,Married,5,1,1,0,0,1,1,Own,Foreign," $30,900.00 ",39,Yes,No,Mast,27,9," $2,837.20 ",Yes,62, $48.45 ," $1,016.85 ",No, $-   , $-   ,Yes,No, $-   , $-   ,Yes,No,No,No,No,No,No,No,No,13,No,No,No,No,No
4166-WEDNXN-5RK,5,4,Male,21,16,Service,No,0,No," $31,000.00 ",9.2,0.77004,2.08196,Yes,Unmarried,1,6,1,0,0,0,2,Own,Domestic," $16,000.00 ",25,No,Yes,Disc,3,9," $1,965.60 ",Yes,13, $14.25 , $47.55 ,No, $-   , $-   ,No,No, $-   , $-   ,No,No,No,Yes,No,No,No,No,No,17,Yes,No,Yes,No,No
4643-WSLHBV-DM5,2,1,Male,53,21,Service,No,19,No," $284,000.00 ",9.4,15.456984,11.239016,Yes,Unmarried,1,2,0,0,2,1,2,Own,Domestic," $92,400.00 ",29,Yes,Yes,Disc,30,12," $10,103.40 ",No,48, $40.05 , $661.55 ,No, $-   , $-   ,Yes,Yes, $57.05 ," $2,716.60 ",Yes,Yes,Yes,3,Yes,Yes,Yes,Yes,Yes,13,Yes,Yes,Yes,Yes,Yes
1441-JNZRPW-8KQ,3,3,Female,30,13,Labor,No,8,No," $49,000.00 ",2.1,0.193452,0.835548,No,Unmarried,1,2,2,0,0,1,3,Own,Domestic," $28,800.00 ",34,No,Yes,Visa,2,12," $2,215.60 ",No,3, $12.15 , $11.15 ,No, $-   , $-   ,No,No, $-   , $-   ,No,No,No,No,No,No,No,No,Yes,18,No,Yes,Yes,No,No
5811-BKUTYY-F7I,2,1,Female,58,19,Labor,No,18,Yes," $15,000.00 ",7.6,0.08436,1.05564,No,Unmarried,1,4,0,0,0,0,1,Own,Foreign," $9,200.00 ",20,No,Yes,Mast,19,4, $650.80 ,No,42, $49.65 , $710.95 ,No, $-   , $-   ,Yes,No, $-   , $-   ,No,No,No,2,No,Yes,No,Yes,No,16,Yes,Yes,No,No,No
0926-OZQUQX-GXA,2,2,Male,35,11,Professional,Yes,5,No," $17,000.00 ",2.3,0.254932,0.136068,Yes,Married,4,4,0,0,0,1,1,Own,Foreign," $11,400.00 ",24,No,No,Disc,17,12," $1,921.90 ",Yes,48, $38.70 , $555.75 ,No, $-   , $-   ,Yes,No, $-   , $-   ,Yes,No,No,No,No,No,Yes,No,No,26,Yes,No,No,No,Yes
5007-HXEVVL-NW5,3,2,Female,48,14,Professional,No,14,No," $83,000.00 ",11.3,4.820806,4.558194,No,Married,2,7,0,1,0,1,1,Own,Foreign," $36,000.00 ",26,Yes,No,Disc,12,8," $2,204.60 ",Yes,37, $16.80 , $221.20 ,Yes, $49.85 ," $1,886.70 ",Yes,Yes, $50.00 ," $1,710.15 ",Yes,Yes,Yes,4,Yes,Yes,Yes,Yes,Yes,22,Yes,Yes,Yes,Yes,No
8101-YOBRYX-REF,3,3,Female,57,15,,No,8,No," $82,000.00 ",34.2,1.12176,26.92224,Yes,Unmarried,1,0,0,0,0,1,4,Own,Foreign," $53,200.00 ",18,No,No,Mast,9,12," $3,718.10 ",Yes,18, $17.25 , $107.95 ,No, $-   , $-   ,No,Yes, $21.00 , $351.70 ,No,Yes,No,2,Yes,No,No,Yes,No,12,Yes,Yes,Yes,No,No
8267-UTARFV-TZK,4,1,Female,61,20,Service,No,11,No," $62,000.00 ",2.3,0.537602,0.888398,No,Married,4,2,0,2,0,1,0,-1,-1," $(1,000.00)",23,No,Yes,AMEX,12,10," $4,158.00 ",Yes,30, $16.80 , $174.05 ,No, $-   , $-   ,Yes,No, $-   , $-   ,No,No,No,No,No,Yes,Yes,Yes,Yes,18,No,Yes,No,No,No
4432-KMTQXO-788,5,4,Female,56,19,Professional,No,6,No," $138,000.00 ",7,4.47258,5.18742,No,Married,2,0,0,0,0,0,5,Own,Domestic," $67,800.00 ",19,No,Yes,Disc,35,10," $6,938.00 ",Yes,66, $66.15 ," $1,442.05 ",Yes, $48.05 ," $3,054.80 ",Yes,Yes, $60.50 ," $4,054.25 ",Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,14,Yes,Yes,Yes,Yes,Yes
9172-WITHKP-BXZ,2,1,Female,29,17,Sales,No,1,No," $35,000.00 ",5.7,1.079295,0.915705,No,Married,2,0,0,0,0,0,3,Lease,Foreign," $16,800.00 ",20,No,Yes,Mast,11,15," $3,630.00 ",Yes,57, $51.15 , $934.00 ,No, $-   , $-   ,Yes,Yes, $43.15 ," $2,437.20 ",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,22,Yes,Yes,Yes,No,Yes
1114-UELZXT-QT7,4,1,Female,68,11,Agriculture,No,36,Yes," $35,000.00 ",12.2,0.74298,3.52702,No,Married,2,0,0,0,0,0,2,Own,Domestic," $13,900.00 ",19,Yes,No,AMEX,30,4," $1,455.90 ",No,64, $53.10 ," $1,114.00 ",No, $-   , $-   ,Yes,No, $-   , $-   ,No,No,No,No,Yes,Yes,Yes,Yes,No,21,No,No,No,Yes,Yes
0992-DNDKIT-CUP,5,3,Male,22,16,Labor,No,0,No," $20,000.00 ",5.2,0.27976,0.76024,Yes,Married,4,3,3,0,0,0,0,-1,-1," $(1,000.00)",19,Yes,Yes,Disc,4,16," $4,823.00 ",Yes,29, $21.60 , $220.90 ,Yes, $21.40 , $559.85 ,No,No, $-   , $-   ,No,No,No,4,No,No,No,No,Yes,18,Yes,Yes,Yes,No,No
2654-JRLXAI-HC7,2,1,Female,46,10,Professional,No,5,No," $25,000.00 ",7.7,0.4774,1.4476,No,Unmarried,1,6,0,0,0,0,2,Own,Domestic," $13,400.00 ",26,Yes,Yes,Visa,16,7," $1,389.50 ",No,31, $27.60 , $322.50 ,No, $-   , $-   ,No,No, $-   , $-   ,No,No,No,No,Yes,No,Yes,No,No,20,No,No,No,No,Yes
0405-BACHZT-AYK,4,1,Male,24,17,Professional,No,0,No," $33,000.00 ",3.9,0.428571,0.858429,No,Married,3,1,1,0,0,1,2,Own,Foreign," $16,800.00 ",30,No,No,Disc,6,12," $1,885.20 ",No,5, $17.85 , $38.25 ,Yes, $41.85 , $163.40 ,No,Yes, $25.40 , $89.60 ,No,Yes,No,4,No,No,No,No,Yes,22,Yes,Yes,Yes,Yes,No
