,CustomerID,Region,TownSize,Gender,Age,EducationYears,JobCategory,UnionMember,EmploymentLength,Retired,HHIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,LoanDefault,MaritalStatus,HouseholdSize,NumberPets,NumberCats,NumberDogs,NumberBirds,HomeOwner,CarsOwned,CarOwnership,CarBrand,CarValue,CommuteTime,PoliticalPartyMem,Votes,CreditCard,CardTenure,CardItemsMonthly,CardSpendMonth,ActiveLifestyle,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,CallingCard,WirelessData,DataLastMonth,DataOverTenure,Multiline,VM,Pager,Internet,CallerID,CallWait,CallForward,ThreeWayCalling,EBilling,TVWatchingHours,OwnsPC,OwnsMobileDevice,OwnsGameSystem,OwnsFax,NewsSubscriber,Gender_num,LoanDefault_num,DebtToIncomeRatio_Recoded,Age_Recoded,PhoneCoTenure_Coded,OwnsMobileDevice_Coded,HomeOwner2,VoiceLastMonth_Coded,CardSpendMonth_cat,EquipmentOverTenure_cat,CarValue_cat
12,8795-FYOXCT-P09,5,2,Male,44,10,Professional,No,12,No,73000.0,2.8,1.250928,0.793072,2,2,1.0,1.0,0.0,1.0,0.0,1.0,1,Own,Foreign,38500.0,25,Yes,Yes,Disc,1,12,5343.6,No,5, $20.25 , $29.90 ,No, $-   ,0.0,Yes,0, $-   ,1,No,No,No,1,Yes,Yes,Yes,Yes,No,21,Yes,No,No,No,No,1.0,2,1,2,1,1,2.0,20.25,1,1,2
13,1705-NMIQNO-IC4,3,2,Male,58,18,Professional,No,3,No,63000.0,10.5,1.924965,4.690035,2,2,1.0,0.0,0.0,0.0,0.0,1.0,0,-1,-1,1000.0,16,No,Yes,Disc,25,10,5935.0,Yes,58, $36.30 , $680.75 ,No, $-   ,0.0,Yes,0, $-   ,1,Yes,No,No,0,Yes,No,Yes,Yes,No,21,Yes,No,No,No,Yes,1.0,2,3,3,3,1,2.0,36.3,1,1,1
14,9205-PAZEXY-90Q,2,1,Female,72,20,Agriculture,Yes,27,Yes,17000.0,9.8,1.276156,0.389844,2,1,2.0,0.0,0.0,0.0,0.0,1.0,1,Own,Foreign,9300.0,32,Yes,Yes,Mast,33,12,2331.7,Yes,67, $41.70 , $954.05 ,Yes, $38.55 ,2580.75,Yes,0, $-   ,1,Yes,No,No,0,No,No,Yes,No,Yes,24,Yes,No,Yes,Yes,Yes,2.0,2,2,4,4,1,2.0,41.7,1,2,1
15,4225-PZZDIY-IBH,3,1,Female,66,13,Labor,Yes,31,Yes,23000.0,9.3,0.934743,1.204257,2,1,2.0,9.0,3.0,0.0,0.0,0.0,3,Own,Domestic,11600.0,14,Yes,Yes,Mast,40,9,2974.7,No,72, $116.10 ," $2,854.90 ",No, $-   ,0.0,Yes,1, $43.25 ,1,Yes,Yes,Yes,1,Yes,Yes,Yes,Yes,No,22,Yes,No,No,Yes,Yes,2.0,2,2,4,4,1,1.0,116.1,1,1,1
16,0758-EQEGIQ-3OF,1,1,Female,57,17,Agriculture,No,24,No,171000.0,9.5,1.803195,14.441805,2,1,3.0,1.0,0.0,1.0,0.0,1.0,2,Own,Foreign,75800.0,19,Yes,No,Disc,19,14,3059.4,Yes,48, $12.45 , $214.85 ,Yes, $43.15 ,1990.25,Yes,1, $40.20 ,1,No,Yes,Yes,3,Yes,Yes,No,Yes,Yes,17,Yes,Yes,Yes,Yes,No,2.0,2,2,3,3,2,2.0,12.45,1,2,4
17,0649-TBFJFL-QU4,5,2,Male,63,14,Labor,Yes,29,No,424000.0,10.7,13.111352,32.256648,2,1,2.0,0.0,0.0,0.0,0.0,1.0,3,Own,Domestic,88600.0,29,No,Yes,Mast,36,10,4957.5,No,70, $104.40 ," $2,540.15 ",No, $-   ,0.0,Yes,0, $-   ,1,Yes,Yes,No,0,Yes,No,Yes,Yes,Yes,24,No,No,No,No,Yes,1.0,2,3,4,4,1,2.0,104.4,1,1,4
18,2228-KOLOPU-FY3,5,5,Female,28,11,Professional,No,4,No,23000.0,4.8,0.190992,0.913008,2,1,3.0,10.0,1.0,0.0,0.0,1.0,0,-1,-1,1000.0,30,Yes,No,Visa,10,17,4420.9,Yes,34, $10.35 , $110.45 ,No, $-   ,0.0,Yes,0, $-   ,1,No,No,No,0,Yes,Yes,Yes,Yes,No,16,No,No,No,No,No,2.0,2,1,1,2,1,2.0,10.35,1,1,1
19,3853-NVDCOJ-TIN,1,1,Female,78,16,Professional,No,10,Yes,22000.0,15.2,0.692208,2.651792,2,2,1.0,0.0,0.0,0.0,0.0,0.0,2,Own,Foreign,10800.0,23,No,No,Visa,10,1,81.1,Yes,14, $21.90 , $85.60 ,Yes, $24.85 ,341.75,Yes,0, $-   ,1,Yes,No,No,1,No,No,No,No,Yes,22,Yes,Yes,No,No,No,2.0,2,4,4,1,2,1.0,21.9,1,1,1
20,0765-UXAFYM-PDR,3,3,Male,61,16,Professional,No,4,No,35000.0,10.1,1.233715,2.301285,2,1,2.0,0.0,0.0,0.0,0.0,0.0,4,Lease,Domestic,9400.0,34,No,No,AMEX,27,8,2719.8,No,53, $33.60 , $567.05 ,No, $-   ,0.0,Yes,0, $-   ,1,No,Yes,No,1,Yes,Yes,Yes,Yes,No,25,Yes,Yes,Yes,No,No,1.0,2,3,3,3,2,1.0,33.6,1,1,1
21,9937-SFPLRK-H9Y,2,4,Male,70,17,Sales,Yes,2,No,28000.0,9.3,1.195236,1.408764,2,1,2.0,9.0,0.0,0.0,1.0,0.0,5,Own,Domestic,15700.0,29,Yes,Yes,AMEX,26,8,2677.1,Yes,59, $42.75 , $805.80 ,No, $-   ,0.0,Yes,0, $-   ,1,Yes,No,Yes,3,No,Yes,No,Yes,No,21,Yes,No,Yes,No,No,1.0,2,2,4,3,1,1.0,42.75,1,1,1
22,0712-WQXYVV-HUP,4,1,Male,61,14,Labor,No,18,Yes,12000.0,21.5,0.56502,2.01498,2,2,1.0,0.0,0.0,0.0,0.0,1.0,3,Own,Domestic,5800.0,25,Yes,No,AMEX,24,10,2450.3,No,61, $25.05 , $476.95 ,Yes, $29.10 ,1790.8,Yes,0, $-   ,1,No,No,No,3,No,Yes,No,No,No,13,Yes,No,Yes,No,No,1.0,2,4,3,4,1,2.0,25.05,1,2,1
23,6441-FJUWZQ-7G8,3,4,Male,37,11,Professional,Yes,2,No,29000.0,15.7,3.319137,1.233863,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,1000.0,29,No,No,Othe,12,17,5566.1,Yes,39, $39.30 , $504.45 ,Yes, $43.50 ,1663.95,Yes,1, $31.50 ,1,Yes,Yes,Yes,4,Yes,Yes,Yes,Yes,Yes,21,Yes,Yes,Yes,No,Yes,1.0,1,4,2,3,2,1.0,39.3,1,2,1
24,7634-AVNEXZ-7AG,1,3,Male,39,12,Professional,No,5,No,130000.0,11.3,4.68611,10.00389,2,1,4.0,5.0,0.0,0.0,0.0,1.0,2,Own,Domestic,49200.0,32,Yes,Yes,Disc,2,12,4537.4,No,6, $4.50 , $11.15 ,No, $-   ,0.0,Yes,0, $-   ,1,No,No,No,1,Yes,No,Yes,Yes,No,32,Yes,Yes,No,No,No,1.0,2,3,2,1,2,2.0,4.5,1,1,2
25,2041-PNMGHX-TXJ,4,3,Female,73,14,Service,No,28,Yes,69000.0,14.8,1.164168,9.047832,2,1,2.0,0.0,0.0,0.0,0.0,0.0,1,Own,Foreign,22800.0,27,No,No,Visa,32,6,2126.7,No,62, $76.35 ," $1,565.60 ",Yes, $47.15 ,2874.15,Yes,1, $53.20 ,2,Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,22,Yes,Yes,Yes,No,Yes,2.0,2,3,4,4,2,1.0,76.35,1,2,1
26,4626-BQZAUJ-V9K,5,4,Female,26,16,Sales,No,0,No,24000.0,11.7,1.297296,1.510704,1,1,6.0,1.0,0.0,1.0,0.0,0.0,4,Lease,Domestic,9800.0,27,Yes,No,Disc,8,14,4476.7,Yes,26, $17.40 , $149.40 ,Yes, $27.05 ,728.55,Yes,0, $-   ,1,Yes,No,No,4,No,No,No,No,Yes,17,Yes,Yes,Yes,Yes,No,2.0,1,3,1,2,2,1.0,17.4,1,1,1
27,2969-ODPCDX-5DC,2,1,Female,24,17,Labor,No,1,No,29000.0,14.0,1.39258,2.66742,1,2,1.0,12.0,0.0,1.0,0.0,1.0,0,-1,-1,1000.0,14,No,Yes,Disc,5,11,2799.5,Yes,11, $11.85 , $42.40 ,Yes, $19.65 ,172.75,No,0, $-   ,1,No,No,No,0,No,No,No,No,No,13,No,Yes,Yes,No,No,2.0,1,3,1,1,2,2.0,11.85,1,1,1
28,4974-FUBHDF-Z7L,3,1,Female,77,15,Professional,No,26,Yes,11000.0,10.2,0.255816,0.866184,2,2,1.0,2.0,0.0,2.0,0.0,1.0,2,Own,Domestic,3100.0,21,Yes,No,Visa,39,10,1949.5,Yes,72, $268.35 ," $6,495.70 ",No, $-   ,0.0,Yes,0, $-   ,1,Yes,No,No,0,Yes,Yes,No,No,No,23,No,No,No,No,Yes,2.0,2,3,4,4,1,2.0,268.35,1,1,1
29,2525-OSULNV-0KS,5,3,Male,36,19,Professional,Yes,3,No,30000.0,15.5,0.41385,4.23615,2,2,1.0,7.0,0.0,0.0,0.0,1.0,3,Own,Domestic,13100.0,24,Yes,Yes,AMEX,10,11,3009.7,No,37, $20.10 , $233.85 ,No, $-   ,0.0,No,0, $-   ,1,No,No,No,2,No,No,No,No,No,15,Yes,Yes,Yes,No,No,1.0,2,4,2,2,2,2.0,20.1,1,1,1
30,4973-FHPBZQ-AAA,3,5,Male,55,14,Service,No,23,No,80000.0,6.5,0.0312,5.1688,2,2,1.0,9.0,2.0,0.0,0.0,1.0,4,Own,Domestic,35000.0,25,No,No,Visa,21,11,3940.2,No,47, $36.75 , $524.40 ,No, $-   ,0.0,Yes,0, $-   ,1,No,No,No,0,No,No,Yes,Yes,No,25,Yes,No,Yes,No,Yes,1.0,2,2,3,3,1,2.0,36.75,1,1,2
31,4726-RQKGNB-WAK,2,2,Female,60,18,Professional,No,13,No,51000.0,7.8,1.209312,2.768688,2,1,2.0,2.0,2.0,0.0,0.0,0.0,2,Own,Domestic,25200.0,26,Yes,No,Disc,38,9,1124.7,Yes,71, $109.05 ," $2,586.85 ",Yes, $55.15 ,4064.25,Yes,1, $55.80 ,2,Yes,Yes,Yes,4,No,No,Yes,No,Yes,20,Yes,Yes,Yes,Yes,Yes,2.0,2,2,3,4,2,1.0,109.05,1,3,1
32,6592-QBSENI-6Y4,1,1,Female,59,8,Sales,Yes,4,No,30000.0,2.8,0.26292,0.57708,2,1,4.0,1.0,0.0,1.0,0.0,0.0,0,-1,-1,1000.0,15,Yes,No,Visa,2,11,3421.7,No,3, $16.50 , $19.35 ,No, $-   ,0.0,Yes,0, $-   ,1,No,No,No,0,Yes,Yes,Yes,Yes,No,29,No,No,No,No,No,2.0,2,1,3,1,1,1.0,16.5,1,1,1
33,5538-DRGHIE-PF0,1,1,Male,28,11,Sales,Yes,1,No,17000.0,8.2,0.150552,1.243448,1,1,6.0,1.0,1.0,0.0,0.0,0.0,3,Own,Domestic,8200.0,23,Yes,Yes,Mast,7,10,3811.4,Yes,16, $23.55 , $116.30 ,No, $-   ,0.0,No,0, $-   ,1,No,No,No,0,No,No,Yes,No,No,30,No,No,Yes,No,No,1.0,1,2,1,1,1,1.0,23.55,1,1,1
34,3550-PQUPPM-42T,3,3,Male,53,20,Sales,No,11,No,141000.0,9.9,9.589833,4.369167,2,1,3.0,1.0,0.0,1.0,0.0,1.0,0,-1,-1,1000.0,23,Yes,Yes,Disc,13,11,4459.0,No,36, $10.20 , $122.00 ,Yes, $49.25 ,1693.6,Yes,1, $61.25 ,1,Yes,Yes,Yes,3,Yes,Yes,Yes,Yes,Yes,10,Yes,Yes,Yes,Yes,No,1.0,2,2,3,2,2,2.0,10.2,1,2,1
35,9809-NBCXAS-1RB,4,5,Male,36,12,Sales,No,5,No,45000.0,8.3,0.88893,2.84607,1,2,2.0,3.0,0.0,0.0,3.0,0.0,3,Own,Domestic,21200.0,26,Yes,Yes,Disc,13,13,4611.5,No,38, $20.25 , $244.70 ,Yes, $27.40 ,1123.6,No,0, $-   ,1,Yes,No,No,3,No,No,No,No,Yes,29,Yes,Yes,Yes,No,No,1.0,1,2,2,2,2,1.0,20.25,1,1,1
36,8733-EDAXNE-8DV,3,1,Male,47,20,Crafts,No,17,No,137000.0,13.7,3.303344,15.465656,2,1,2.0,2.0,2.0,0.0,0.0,1.0,1,Own,Foreign,78100.0,21,No,Yes,AMEX,29,8,4161.2,No,69, $66.15 ," $1,473.30 ",Yes, $44.85 ,2973.0,Yes,1, $36.45 ,1,Yes,Yes,Yes,3,No,Yes,No,No,Yes,22,Yes,Yes,Yes,No,Yes,1.0,2,3,2,4,2,2.0,66.15,1,2,4
37,8170-YHWTSQ-825,5,2,Male,75,11,Sales,No,2,Yes,10000.0,2.4,0.03888,0.20112,2,2,1.0,1.0,1.0,0.0,0.0,0.0,1,Own,Domestic,4900.0,24,No,No,Disc,23,17,1972.7,No,46, $59.40 , $884.75 ,No, $-   ,0.0,Yes,0, $-   ,1,No,No,No,0,Yes,Yes,Yes,Yes,No,21,Yes,No,No,No,Yes,1.0,2,1,4,3,1,1.0,59.4,1,1,1
38,1144-GVCZDP-8DV,2,3,Female,49,22,Professional,Yes,3,No,73000.0,9.2,1.437224,5.278776,2,1,5.0,13.0,2.0,0.0,0.0,1.0,1,Own,Foreign,33900.0,19,No,Yes,Disc,13,4,782.2,Yes,31, $21.00 , $238.00 ,Yes, $57.25 ,1740.25,No,1, $62.30 ,1,Yes,Yes,Yes,4,No,No,No,No,Yes,22,Yes,Yes,Yes,Yes,No,2.0,2,2,3,2,2,2.0,21.0,1,2,2
39,8846-JJEGFU-I69,1,1,Female,59,13,Professional,No,15,No,63000.0,6.0,0.59346,3.18654,2,2,1.0,0.0,0.0,0.0,0.0,0.0,1,Own,Domestic,36200.0,16,Yes,No,Disc,13,9,2835.9,No,41, $39.00 , $479.00 ,No, $-   ,0.0,Yes,1, $19.35 ,1,No,No,No,2,Yes,Yes,Yes,Yes,No,13,Yes,Yes,Yes,Yes,No,2.0,2,2,3,3,2,1.0,39.0,1,1,2
40,4226-TEHKPJ-GKG,1,2,Female,55,12,Service,No,10,No,50000.0,5.1,1.0863,1.4637,2,1,3.0,0.0,0.0,0.0,0.0,1.0,2,Own,Domestic,31800.0,21,Yes,No,AMEX,22,11,5011.1,No,49, $27.90 , $465.50 ,No, $-   ,0.0,Yes,0, $-   ,1,No,Yes,No,0,Yes,Yes,Yes,Yes,No,29,No,No,No,No,Yes,2.0,2,2,3,3,1,2.0,27.9,1,1,2
41,9714-LCYJJB-SCS,5,2,Male,25,14,Professional,No,1,No,50000.0,10.5,1.218,4.032,1,2,5.0,1.0,0.0,1.0,0.0,0.0,0,-1,-1,1000.0,15,No,Yes,Disc,7,11,3919.7,Yes,46, $43.35 , $659.35 ,Yes, $29.75 ,1319.5,Yes,0, $-   ,1,Yes,Yes,No,2,No,No,No,No,No,22,Yes,No,Yes,No,Yes,1.0,1,3,1,3,1,1.0,43.35,1,1,1
42,2866-TTOTKL-TA7,5,4,Male,78,11,Service,No,30,Yes,28000.0,9.8,1.635424,1.108576,2,1,2.0,9.0,0.0,0.0,0.0,0.0,2,Own,Domestic,15800.0,34,No,Yes,Visa,14,5,1637.2,No,31, $15.00 , $133.35 ,No, $-   ,0.0,Yes,0, $-   ,1,No,No,No,0,No,No,No,No,No,20,No,No,No,No,Yes,1.0,2,2,4,2,1,1.0,15.0,1,1,1
43,7217-UECHSF-PCR,1,1,Female,48,11,Sales,No,2,No,23000.0,18.7,2.051577,2.249423,1,2,2.0,9.0,0.0,0.0,0.0,1.0,2,Own,Domestic,9300.0,23,No,No,Othe,11,11,2680.9,Yes,23, $19.50 , $169.80 ,No, $-   ,0.0,Yes,1, $19.70 ,1,No,No,No,1,Yes,Yes,Yes,Yes,No,28,Yes,No,No,No,No,2.0,1,4,3,2,1,2.0,19.5,1,1,1
44,0197-AMEAYR-851,5,1,Male,47,19,Sales,No,1,No,75000.0,2.2,0.1023,1.5477,2,1,2.0,6.0,0.0,0.0,0.0,0.0,1,Own,Foreign,46100.0,22,No,Yes,AMEX,15,14,3336.8,No,21, $18.45 , $141.25 ,Yes, $26.35 ,516.3,Yes,0, $-   ,1,No,No,No,0,No,No,No,No,Yes,19,Yes,Yes,No,No,No,1.0,2,1,2,2,2,1.0,18.45,1,1,2
45,1743-WAHPKT-DNW,5,1,Male,75,10,Sales,No,11,No,28000.0,3.3,0.394548,0.529452,2,1,2.0,0.0,0.0,0.0,0.0,1.0,1,Own,Domestic,13800.0,20,Yes,No,AMEX,3,10,4535.2,No,16, $12.90 , $75.00 ,No, $-   ,0.0,No,0, $-   ,1,No,No,No,0,No,Yes,No,No,No,12,No,No,No,No,No,1.0,2,1,4,1,1,2.0,12.9,1,1,1
46,9840-VEWFQZ-W5V,3,1,Female,43,19,Sales,No,4,No,33000.0,12.6,2.116422,2.041578,2,1,2.0,5.0,0.0,0.0,0.0,1.0,1,Own,Foreign,17200.0,22,Yes,Yes,Disc,9,14,2724.4,Yes,27, $19.95 , $201.55 ,No, $-   ,0.0,No,0, $-   ,1,No,No,No,0,No,No,No,No,No,18,No,No,Yes,No,No,2.0,2,3,2,2,1,2.0,19.95,1,1,1
47,6203-JLXPIJ-YQZ,5,5,Male,45,10,Labor,No,15,No,44000.0,13.6,0.98736,4.99664,2,1,5.0,1.0,1.0,0.0,0.0,1.0,1,Own,Foreign,30900.0,39,Yes,No,Mast,27,9,2837.2,Yes,62, $48.45 ," $1,016.85 ",No, $-   ,0.0,Yes,0, $-   ,1,Yes,No,No,0,No,No,No,No,No,13,No,No,No,No,No,1.0,2,3,2,4,1,2.0,48.45,1,1,2
48,4166-WEDNXN-5RK,5,4,Male,21,16,Service,No,0,No,31000.0,9.2,0.77004,2.08196,1,2,1.0,6.0,1.0,0.0,0.0,0.0,2,Own,Domestic,16000.0,25,No,Yes,Disc,3,9,1965.6,Yes,13, $14.25 , $47.55 ,No, $-   ,0.0,No,0, $-   ,1,No,No,No,1,No,No,No,No,No,17,Yes,No,Yes,No,No,1.0,1,2,1,1,1,1.0,14.25,1,1,1
49,4643-WSLHBV-DM5,2,1,Male,53,21,Service,No,19,No,284000.0,9.4,15.456984,11.239016,1,2,1.0,2.0,0.0,0.0,2.0,1.0,2,Own,Domestic,92400.0,29,Yes,Yes,Disc,30,12,10103.4,No,48, $40.05 , $661.55 ,No, $-   ,0.0,Yes,1, $57.05 ,1,Yes,Yes,Yes,3,Yes,Yes,Yes,Yes,Yes,13,Yes,Yes,Yes,Yes,Yes,1.0,1,2,3,3,2,2.0,40.05,2,1,4
50,1441-JNZRPW-8KQ,3,3,Female,30,13,Labor,No,8,No,49000.0,2.1,0.193452,0.835548,2,2,1.0,2.0,2.0,0.0,0.0,1.0,3,Own,Domestic,28800.0,34,No,Yes,Visa,2,12,2215.6,No,3, $12.15 , $11.15 ,No, $-   ,0.0,No,0, $-   ,1,No,No,No,0,No,No,No,No,Yes,18,No,Yes,Yes,No,No,2.0,2,1,1,1,2,2.0,12.15,1,1,2
51,5811-BKUTYY-F7I,2,1,Female,58,19,Labor,No,18,Yes,15000.0,7.6,0.08436,1.05564,2,2,1.0,4.0,0.0,0.0,0.0,0.0,1,Own,Foreign,9200.0,20,No,Yes,Mast,19,4,650.8,No,42, $49.65 , $710.95 ,No, $-   ,0.0,Yes,0, $-   ,1,No,No,No,2,No,Yes,No,Yes,No,16,Yes,Yes,No,No,No,2.0,2,2,3,3,2,1.0,49.65,1,1,1
52,0926-OZQUQX-GXA,2,2,Male,35,11,Professional,Yes,5,No,17000.0,2.3,0.254932,0.136068,1,1,4.0,4.0,0.0,0.0,0.0,1.0,1,Own,Foreign,11400.0,24,No,No,Disc,17,12,1921.9,Yes,48, $38.70 , $555.75 ,No, $-   ,0.0,Yes,0, $-   ,1,Yes,No,No,0,No,No,Yes,No,No,26,Yes,No,No,No,Yes,1.0,1,1,2,3,1,2.0,38.7,1,1,1
53,5007-HXEVVL-NW5,3,2,Female,48,14,Professional,No,14,No,83000.0,11.3,4.820806,4.558194,2,1,2.0,7.0,0.0,1.0,0.0,1.0,1,Own,Foreign,36000.0,26,Yes,No,Disc,12,8,2204.6,Yes,37, $16.80 , $221.20 ,Yes, $49.85 ,1886.7,Yes,1, $50.00 ,1,Yes,Yes,Yes,4,Yes,Yes,Yes,Yes,Yes,22,Yes,Yes,Yes,Yes,No,2.0,2,3,3,2,2,2.0,16.8,1,2,2
54,8101-YOBRYX-REF,3,3,Female,57,15,Sales,No,8,No,82000.0,34.2,1.12176,26.92224,1,2,1.0,0.0,0.0,0.0,0.0,1.0,4,Own,Foreign,53200.0,18,No,No,Mast,9,12,3718.1,Yes,18, $17.25 , $107.95 ,No, $-   ,0.0,No,1, $21.00 ,1,No,Yes,No,2,Yes,No,No,Yes,No,12,Yes,Yes,Yes,No,No,2.0,1,4,3,1,2,2.0,17.25,1,1,3
