gutenberg_id,text,document
36,circle of deep blue and the little round planet swimming in the field.,The War of the Worlds_1
36,"It seemed such a little thing, so bright and small and still, faintly",The War of the Worlds_1
36,"marked with transverse stripes, and slightly flattened from the perfect",The War of the Worlds_1
36,"round. But so little it was, so silvery warm—a pin’s head of light! It",The War of the Worlds_1
36,"was as if it quivered, but really this was the telescope vibrating with",The War of the Worlds_1
36,the activity of the clockwork that kept the planet in view.,The War of the Worlds_1
36,,The War of the Worlds_1
36,"As I watched, the planet seemed to grow larger and smaller and to",The War of the Worlds_1
36,"advance and recede, but that was simply that my eye was tired. Forty",The War of the Worlds_1
36,millions of miles it was from us—more than forty millions of miles of,The War of the Worlds_1
36,void. Few people realise the immensity of vacancy in which the dust of,The War of the Worlds_1
36,the material universe swims.,The War of the Worlds_1
36,,The War of the Worlds_1
36,"Near it in the field, I remember, were three faint points of light,",The War of the Worlds_1
36,"three telescopic stars infinitely remote, and all around it was the",The War of the Worlds_1
36,unfathomable darkness of empty space. You know how that blackness looks,The War of the Worlds_1
36,on a frosty starlight night. In a telescope it seems far profounder.,The War of the Worlds_1
36,"And invisible to me because it was so remote and small, flying swiftly",The War of the Worlds_1
36,"and steadily towards me across that incredible distance, drawing nearer",The War of the Worlds_1
36,"every minute by so many thousands of miles, came the Thing they were",The War of the Worlds_1
36,"sending us, the Thing that was to bring so much struggle and calamity",The War of the Worlds_1
36,and death to the earth. I never dreamed of it then as I watched; no one,The War of the Worlds_1
36,on earth dreamed of that unerring missile.,The War of the Worlds_1
36,,The War of the Worlds_1
36,"That night, too, there was another jetting out of gas from the distant",The War of the Worlds_1
36,"planet. I saw it. A reddish flash at the edge, the slightest projection",The War of the Worlds_1
36,of the outline just as the chronometer struck midnight; and at that I,The War of the Worlds_1
36,"told Ogilvy and he took my place. The night was warm and I was thirsty,",The War of the Worlds_1
36,and I went stretching my legs clumsily and feeling my way in the,The War of the Worlds_1
36,"darkness, to the little table where the siphon stood, while Ogilvy",The War of the Worlds_1
36,exclaimed at the streamer of gas that came out towards us.,The War of the Worlds_1
36,,The War of the Worlds_1
36,That night another invisible missile started on its way to the earth,The War of the Worlds_1
36,"from Mars, just a second or so under twenty-four hours after the first",The War of the Worlds_1
36,"one. I remember how I sat on the table there in the blackness, with",The War of the Worlds_1
36,patches of green and crimson swimming before my eyes. I wished I had a,The War of the Worlds_1
36,"light to smoke by, little suspecting the meaning of the minute gleam I",The War of the Worlds_1
36,had seen and all that it would presently bring me. Ogilvy watched till,The War of the Worlds_1
36,"one, and then gave it up; and we lit the lantern and walked over to his",The War of the Worlds_1
36,house. Down below in the darkness were Ottershaw and Chertsey and all,The War of the Worlds_1
36,"their hundreds of people, sleeping in peace.",The War of the Worlds_1
36,,The War of the Worlds_1
36,"He was full of speculation that night about the condition of Mars, and",The War of the Worlds_1
36,scoffed at the vulgar idea of its having inhabitants who were,The War of the Worlds_1
36,signalling us. His idea was that meteorites might be falling in a heavy,The War of the Worlds_1
36,"shower upon the planet, or that a huge volcanic explosion was in",The War of the Worlds_1
36,progress. He pointed out to me how unlikely it was that organic,The War of the Worlds_1
36,evolution had taken the same direction in the two adjacent planets.,The War of the Worlds_1
36,,The War of the Worlds_1
36,"“The chances against anything manlike on Mars are a million to one,” he",The War of the Worlds_1
36,said.,The War of the Worlds_1
36,,The War of the Worlds_1
36,Hundreds of observers saw the flame that night and the night after,The War of the Worlds_1
36,"about midnight, and again the night after; and so for ten nights, a",The War of the Worlds_1
36,flame each night. Why the shots ceased after the tenth no one on earth,The War of the Worlds_1
36,has attempted to explain. It may be the gases of the firing caused the,The War of the Worlds_1
36,"Martians inconvenience. Dense clouds of smoke or dust, visible through",The War of the Worlds_1
36,"a powerful telescope on earth as little grey, fluctuating patches,",The War of the Worlds_1
36,spread through the clearness of the planet’s atmosphere and obscured,The War of the Worlds_1
36,its more familiar features.,The War of the Worlds_1
36,,The War of the Worlds_1
36,"Even the daily papers woke up to the disturbances at last, and popular",The War of the Worlds_1
36,"notes appeared here, there, and everywhere concerning the volcanoes",The War of the Worlds_1
36,"upon Mars. The seriocomic periodical _Punch_, I remember, made a happy",The War of the Worlds_1
36,"use of it in the political cartoon. And, all unsuspected, those",The War of the Worlds_1
36,"missiles the Martians had fired at us drew earthward, rushing now at a",The War of the Worlds_1
36,"pace of many miles a second through the empty gulf of space, hour by",The War of the Worlds_1
36,"hour and day by day, nearer and nearer. It seems to me now almost",The War of the Worlds_1
36,"incredibly wonderful that, with that swift fate hanging over us, men",The War of the Worlds_1
36,could go about their petty concerns as they did. I remember how,The War of the Worlds_1
36,jubilant Markham was at securing a new photograph of the planet for the,The War of the Worlds_1
36,illustrated paper he edited in those days. People in these latter times,The War of the Worlds_1
36,scarcely realise the abundance and enterprise of our nineteenth-century,The War of the Worlds_1
36,"papers. For my own part, I was much occupied in learning to ride the",The War of the Worlds_1
36,"bicycle, and busy upon a series of papers discussing the probable",The War of the Worlds_1
36,developments of moral ideas as civilisation progressed.,The War of the Worlds_1
36,,The War of the Worlds_1
36,"One night (the first missile then could scarcely have been 10,000,000",The War of the Worlds_1
36,miles away) I went for a walk with my wife. It was starlight and I,The War of the Worlds_1
36,"explained the Signs of the Zodiac to her, and pointed out Mars, a",The War of the Worlds_1
36,"bright dot of light creeping zenithward, towards which so many",The War of the Worlds_1
36,"telescopes were pointed. It was a warm night. Coming home, a party of",The War of the Worlds_1
36,excursionists from Chertsey or Isleworth passed us singing and playing,The War of the Worlds_1
36,music. There were lights in the upper windows of the houses as the,The War of the Worlds_1
36,people went to bed. From the railway station in the distance came the,The War of the Worlds_1
36,"sound of shunting trains, ringing and rumbling, softened almost into",The War of the Worlds_1
36,melody by the distance. My wife pointed out to me the brightness of the,The War of the Worlds_1
36,"red, green, and yellow signal lights hanging in a framework against the",The War of the Worlds_1
36,sky. It seemed so safe and tranquil.,The War of the Worlds_1
36,,The War of the Worlds_1
36,,The War of the Worlds_1
36,,The War of the Worlds_1
36,,The War of the Worlds_1
36,II.,The War of the Worlds_2
36,THE FALLING STAR.,The War of the Worlds_2
36,,The War of the Worlds_2
36,,The War of the Worlds_2
36,Then came the night of the first falling star. It was seen early in the,The War of the Worlds_2
36,"morning, rushing over Winchester eastward, a line of flame high in the",The War of the Worlds_2
36,"atmosphere. Hundreds must have seen it, and taken it for an ordinary",The War of the Worlds_2
36,falling star. Albin described it as leaving a greenish streak behind it,The War of the Worlds_2
36,"that glowed for some seconds. Denning, our greatest authority on",The War of the Worlds_2
36,"meteorites, stated that the height of its first appearance was about",The War of the Worlds_2
36,ninety or one hundred miles. It seemed to him that it fell to earth,The War of the Worlds_2
36,about one hundred miles east of him.,The War of the Worlds_2
36,,The War of the Worlds_2
36,I was at home at that hour and writing in my study; and although my,The War of the Worlds_2
36,French windows face towards Ottershaw and the blind was up (for I loved,The War of the Worlds_2
36,"in those days to look up at the night sky), I saw nothing of it. Yet",The War of the Worlds_2
36,this strangest of all things that ever came to earth from outer space,The War of the Worlds_2
36,"must have fallen while I was sitting there, visible to me had I only",The War of the Worlds_2
36,looked up as it passed. Some of those who saw its flight say it,The War of the Worlds_2
36,travelled with a hissing sound. I myself heard nothing of that. Many,The War of the Worlds_2
36,"people in Berkshire, Surrey, and Middlesex must have seen the fall of",The War of the Worlds_2
36,"it, and, at most, have thought that another meteorite had descended. No",The War of the Worlds_2
36,one seems to have troubled to look for the fallen mass that night.,The War of the Worlds_2
36,,The War of the Worlds_2
36,"But very early in the morning poor Ogilvy, who had seen the shooting",The War of the Worlds_2
36,star and who was persuaded that a meteorite lay somewhere on the common,The War of the Worlds_2
36,"between Horsell, Ottershaw, and Woking, rose early with the idea of",The War of the Worlds_2
36,"finding it. Find it he did, soon after dawn, and not far from the",The War of the Worlds_2
36,sand-pits. An enormous hole had been made by the impact of the,The War of the Worlds_2
36,"projectile, and the sand and gravel had been flung violently in every",The War of the Worlds_2
36,"direction over the heath, forming heaps visible a mile and a half away.",The War of the Worlds_2
36,"The heather was on fire eastward, and a thin blue smoke rose against",The War of the Worlds_2
36,the dawn.,The War of the Worlds_2
36,,The War of the Worlds_2
36,"The Thing itself lay almost entirely buried in sand, amidst the",The War of the Worlds_2
36,scattered splinters of a fir tree it had shivered to fragments in its,The War of the Worlds_2
36,"descent. The uncovered part had the appearance of a huge cylinder,",The War of the Worlds_2
36,caked over and its outline softened by a thick scaly dun-coloured,The War of the Worlds_2
36,incrustation. It had a diameter of about thirty yards. He approached,The War of the Worlds_2
36,"the mass, surprised at the size and more so at the shape, since most",The War of the Worlds_2
36,"meteorites are rounded more or less completely. It was, however, still",The War of the Worlds_2
36,so hot from its flight through the air as to forbid his near approach.,The War of the Worlds_2
36,A stirring noise within its cylinder he ascribed to the unequal cooling,The War of the Worlds_2
36,of its surface; for at that time it had not occurred to him that it,The War of the Worlds_2
36,might be hollow.,The War of the Worlds_2
36,,The War of the Worlds_2
36,He remained standing at the edge of the pit that the Thing had made for,The War of the Worlds_2
36,"itself, staring at its strange appearance, astonished chiefly at its",The War of the Worlds_2
36,"unusual shape and colour, and dimly perceiving even then some evidence",The War of the Worlds_2
36,"of design in its arrival. The early morning was wonderfully still, and",The War of the Worlds_2
36,"the sun, just clearing the pine trees towards Weybridge, was already",The War of the Worlds_2
36,"warm. He did not remember hearing any birds that morning, there was",The War of the Worlds_2
36,"certainly no breeze stirring, and the only sounds were the faint",The War of the Worlds_2
36,movements from within the cindery cylinder. He was all alone on the,The War of the Worlds_2
36,common.,The War of the Worlds_2
36,,The War of the Worlds_2
36,"Then suddenly he noticed with a start that some of the grey clinker,",The War of the Worlds_2
36,"the ashy incrustation that covered the meteorite, was falling off the",The War of the Worlds_2
36,circular edge of the end. It was dropping off in flakes and raining,The War of the Worlds_2
36,down upon the sand. A large piece suddenly came off and fell with a,The War of the Worlds_2
36,sharp noise that brought his heart into his mouth.,The War of the Worlds_2
36,,The War of the Worlds_2
36,"For a minute he scarcely realised what this meant, and, although the",The War of the Worlds_2
36,"heat was excessive, he clambered down into the pit close to the bulk to",The War of the Worlds_2
36,see the Thing more clearly. He fancied even then that the cooling of,The War of the Worlds_2
36,"the body might account for this, but what disturbed that idea was the",The War of the Worlds_2
36,fact that the ash was falling only from the end of the cylinder.,The War of the Worlds_2
36,,The War of the Worlds_2
36,"And then he perceived that, very slowly, the circular top of the",The War of the Worlds_2
36,cylinder was rotating on its body. It was such a gradual movement that,The War of the Worlds_2
36,he discovered it only through noticing that a black mark that had been,The War of the Worlds_2
36,near him five minutes ago was now at the other side of the,The War of the Worlds_2
36,"circumference. Even then he scarcely understood what this indicated,",The War of the Worlds_2
36,until he heard a muffled grating sound and saw the black mark jerk,The War of the Worlds_2
36,forward an inch or so. Then the thing came upon him in a flash. The,The War of the Worlds_2
36,cylinder was artificial—hollow—with an end that screwed out! Something,The War of the Worlds_2
36,within the cylinder was unscrewing the top!,The War of the Worlds_2
36,,The War of the Worlds_2
36,“Good heavens!” said Ogilvy. “There’s a man in it—men in it! Half,The War of the Worlds_2
36,roasted to death! Trying to escape!”,The War of the Worlds_2
36,,The War of the Worlds_2
36,"At once, with a quick mental leap, he linked the Thing with the flash",The War of the Worlds_2
36,upon Mars.,The War of the Worlds_2
36,,The War of the Worlds_2
36,The thought of the confined creature was so dreadful to him that he,The War of the Worlds_2
36,forgot the heat and went forward to the cylinder to help turn. But,The War of the Worlds_2
36,luckily the dull radiation arrested him before he could burn his hands,The War of the Worlds_2
36,"on the still-glowing metal. At that he stood irresolute for a moment,",The War of the Worlds_2
36,"then turned, scrambled out of the pit, and set off running wildly into",The War of the Worlds_2
36,Woking. The time then must have been somewhere about six o’clock. He,The War of the Worlds_2
36,"met a waggoner and tried to make him understand, but the tale he told",The War of the Worlds_2
36,and his appearance were so wild—his hat had fallen off in the pit—that,The War of the Worlds_2
36,the man simply drove on. He was equally unsuccessful with the potman,The War of the Worlds_2
36,who was just unlocking the doors of the public-house by Horsell Bridge.,The War of the Worlds_2
36,The fellow thought he was a lunatic at large and made an unsuccessful,The War of the Worlds_2
36,attempt to shut him into the taproom. That sobered him a little; and,The War of the Worlds_2
36,"when he saw Henderson, the London journalist, in his garden, he called",The War of the Worlds_2
36,over the palings and made himself understood.,The War of the Worlds_2
36,,The War of the Worlds_2
36,"“Henderson,” he called, “you saw that shooting star last night?”",The War of the Worlds_2
36,,The War of the Worlds_2
36,“Well?” said Henderson.,The War of the Worlds_2
36,,The War of the Worlds_2
36,“It’s out on Horsell Common now.”,The War of the Worlds_2
36,,The War of the Worlds_2
36,“Good Lord!” said Henderson. “Fallen meteorite! That’s good.”,The War of the Worlds_2
36,,The War of the Worlds_2
36,“But it’s something more than a meteorite. It’s a cylinder—an,The War of the Worlds_2
36,"artificial cylinder, man! And there’s something inside.”",The War of the Worlds_2
36,,The War of the Worlds_2
36,Henderson stood up with his spade in his hand.,The War of the Worlds_2
36,,The War of the Worlds_2
36,“What’s that?” he said. He was deaf in one ear.,The War of the Worlds_2
36,,The War of the Worlds_2
36,Ogilvy told him all that he had seen. Henderson was a minute or so,The War of the Worlds_2
36,"taking it in. Then he dropped his spade, snatched up his jacket, and",The War of the Worlds_2
36,"came out into the road. The two men hurried back at once to the common,",The War of the Worlds_2
36,and found the cylinder still lying in the same position. But now the,The War of the Worlds_2
36,"sounds inside had ceased, and a thin circle of bright metal showed",The War of the Worlds_2
36,between the top and the body of the cylinder. Air was either entering,The War of the Worlds_2
36,"or escaping at the rim with a thin, sizzling sound.",The War of the Worlds_2
36,,The War of the Worlds_2
36,"They listened, rapped on the scaly burnt metal with a stick, and,",The War of the Worlds_2
36,"meeting with no response, they both concluded the man or men inside",The War of the Worlds_2
36,must be insensible or dead.,The War of the Worlds_2
36,,The War of the Worlds_2
36,Of course the two were quite unable to do anything. They shouted,The War of the Worlds_2
36,"consolation and promises, and went off back to the town again to get",The War of the Worlds_2
36,"help. One can imagine them, covered with sand, excited and disordered,",The War of the Worlds_2
36,running up the little street in the bright sunlight just as the shop,The War of the Worlds_2
36,folks were taking down their shutters and people were opening their,The War of the Worlds_2
36,"bedroom windows. Henderson went into the railway station at once, in",The War of the Worlds_2
36,order to telegraph the news to London. The newspaper articles had,The War of the Worlds_2
36,prepared men’s minds for the reception of the idea.,The War of the Worlds_2
36,,The War of the Worlds_2
36,By eight o’clock a number of boys and unemployed men had already,The War of the Worlds_2
36,started for the common to see the “dead men from Mars.” That was the,The War of the Worlds_2
36,form the story took. I heard of it first from my newspaper boy about a,The War of the Worlds_2
36,quarter to nine when I went out to get my _Daily Chronicle_. I was,The War of the Worlds_2
36,"naturally startled, and lost no time in going out and across the",The War of the Worlds_2
36,Ottershaw bridge to the sand-pits.,The War of the Worlds_2
36,,The War of the Worlds_2
36,,The War of the Worlds_2
36,,The War of the Worlds_2
36,,The War of the Worlds_2
36,III.,The War of the Worlds_3
36,ON HORSELL COMMON.,The War of the Worlds_3
36,,The War of the Worlds_3
36,,The War of the Worlds_3
36,I found a little crowd of perhaps twenty people surrounding the huge,The War of the Worlds_3
36,hole in which the cylinder lay. I have already described the appearance,The War of the Worlds_3
36,"of that colossal bulk, embedded in the ground. The turf and gravel",The War of the Worlds_3
36,about it seemed charred as if by a sudden explosion. No doubt its,The War of the Worlds_3
36,impact had caused a flash of fire. Henderson and Ogilvy were not there.,The War of the Worlds_3
36,"I think they perceived that nothing was to be done for the present, and",The War of the Worlds_3
36,had gone away to breakfast at Henderson’s house.,The War of the Worlds_3
36,,The War of the Worlds_3
36,"There were four or five boys sitting on the edge of the Pit, with their",The War of the Worlds_3
36,"feet dangling, and amusing themselves—until I stopped them—by throwing",The War of the Worlds_3
36,"stones at the giant mass. After I had spoken to them about it, they",The War of the Worlds_3
36,began playing at “touch” in and out of the group of bystanders.,The War of the Worlds_3
36,,The War of the Worlds_3
36,"Among these were a couple of cyclists, a jobbing gardener I employed",The War of the Worlds_3
36,"sometimes, a girl carrying a baby, Gregg the butcher and his little",The War of the Worlds_3
36,"boy, and two or three loafers and golf caddies who were accustomed to",The War of the Worlds_3
36,hang about the railway station. There was very little talking. Few of,The War of the Worlds_3
36,the common people in England had anything but the vaguest astronomical,The War of the Worlds_3
36,ideas in those days. Most of them were staring quietly at the big table,The War of the Worlds_3
36,"like end of the cylinder, which was still as Ogilvy and Henderson had",The War of the Worlds_3
36,left it. I fancy the popular expectation of a heap of charred corpses,The War of the Worlds_3
36,was disappointed at this inanimate bulk. Some went away while I was,The War of the Worlds_3
36,"there, and other people came. I clambered into the pit and fancied I",The War of the Worlds_3
36,heard a faint movement under my feet. The top had certainly ceased to,The War of the Worlds_3
36,rotate.,The War of the Worlds_3
36,,The War of the Worlds_3
36,It was only when I got thus close to it that the strangeness of this,The War of the Worlds_3
36,object was at all evident to me. At the first glance it was really no,The War of the Worlds_3
36,more exciting than an overturned carriage or a tree blown across the,The War of the Worlds_3
36,"road. Not so much so, indeed. It looked like a rusty gas float. It",The War of the Worlds_3
36,required a certain amount of scientific education to perceive that the,The War of the Worlds_3
36,"grey scale of the Thing was no common oxide, that the yellowish-white",The War of the Worlds_3
36,metal that gleamed in the crack between the lid and the cylinder had an,The War of the Worlds_3
36,unfamiliar hue. “Extra-terrestrial” had no meaning for most of the,The War of the Worlds_3
36,onlookers.,The War of the Worlds_3
36,,The War of the Worlds_3
36,At that time it was quite clear in my own mind that the Thing had come,The War of the Worlds_3
36,"from the planet Mars, but I judged it improbable that it contained any",The War of the Worlds_3
36,living creature. I thought the unscrewing might be automatic. In spite,The War of the Worlds_3
36,"of Ogilvy, I still believed that there were men in Mars. My mind ran",The War of the Worlds_3
36,"fancifully on the possibilities of its containing manuscript, on the",The War of the Worlds_3
36,"difficulties in translation that might arise, whether we should find",The War of the Worlds_3
36,"coins and models in it, and so forth. Yet it was a little too large for",The War of the Worlds_3
36,assurance on this idea. I felt an impatience to see it opened. About,The War of the Worlds_3
36,"eleven, as nothing seemed happening, I walked back, full of such",The War of the Worlds_3
36,"thought, to my home in Maybury. But I found it difficult to get to work",The War of the Worlds_3
36,upon my abstract investigations.,The War of the Worlds_3
36,,The War of the Worlds_3
36,In the afternoon the appearance of the common had altered very much.,The War of the Worlds_3
36,The early editions of the evening papers had startled London with,The War of the Worlds_3
36,enormous headlines:,The War of the Worlds_3
36,,The War of the Worlds_3
36,“A MESSAGE RECEIVED FROM MARS.”,The War of the Worlds_3
36,,The War of the Worlds_3
36,,The War of the Worlds_3
36,"“REMARKABLE STORY FROM WOKING,”",The War of the Worlds_3
36,,The War of the Worlds_3
36,,The War of the Worlds_3
36,"and so forth. In addition, Ogilvy’s wire to the Astronomical Exchange",The War of the Worlds_3
36,had roused every observatory in the three kingdoms.,The War of the Worlds_3
36,,The War of the Worlds_3
36,There were half a dozen flys or more from the Woking station standing,The War of the Worlds_3
36,"in the road by the sand-pits, a basket-chaise from Chobham, and a",The War of the Worlds_3
36,"rather lordly carriage. Besides that, there was quite a heap of",The War of the Worlds_3
36,"bicycles. In addition, a large number of people must have walked, in",The War of the Worlds_3
36,"spite of the heat of the day, from Woking and Chertsey, so that there",The War of the Worlds_3
36,was altogether quite a considerable crowd—one or two gaily dressed,The War of the Worlds_3
36,ladies among the others.,The War of the Worlds_3
36,,The War of the Worlds_3
36,"It was glaringly hot, not a cloud in the sky nor a breath of wind, and",The War of the Worlds_3
36,the only shadow was that of the few scattered pine trees. The burning,The War of the Worlds_3
36,"heather had been extinguished, but the level ground towards Ottershaw",The War of the Worlds_3
36,"was blackened as far as one could see, and still giving off vertical",The War of the Worlds_3
